OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,geoname,Population,Households,Housing_Units,Vacancy_Rate,Pct_OwnerOccupiedUnits,White,African_American,AmerIn_AlaskaNative,Asian,NatHawaiian_PacIslander,Some_other_race,Two_or_more_races,Hispanic,OwnerOccupiedUnits,GroupQuartersPop,Age0_17,Age18_34,Age35_64,Age65andOver,OnePersonHouseholds,TwoPersonHouseholds,ThreePersonHouseholds,FourPersonHouseholds,FivePersonHouseholds,SixPersonHouseholds,SevenOrMorePersonHouseholds,SqMi,PopSqMi,Pop_2010,Pop_Change,MedianAge,SHAPESTArea,SHAPESTLength
3124,37,119,002800,2,371190028002,Block Group 2,"Block Group 2, Census Tract 28, Mecklenburg County, North Carolina",1290,398,443,0.10158014,0.95478723,1214,54,0,9,0,0,13,0,398,64,403,183,630,74,45,128,66,114,32,13,0,0.33561599,3843.67860423,1201,7,38.5,9356399.30530703,14519.2296081861
3125,37,119,001919,1,371190019191,Block Group 1,"Block Group 1, Census Tract 19.19, Mecklenburg County, North Carolina",1384,559,651,0.14132104,0.20069204,631,117,56,325,0,175,80,501,559,0,361,439,464,120,180,183,81,91,15,0,9,0.26193575,5283.73847403,1071,611,32.4,7302320.41221836,13099.6634580471
3126,37,119,003808,1,371190038081,Block Group 1,"Block Group 1, Census Tract 38.08, Mecklenburg County, North Carolina",2314,718,766,0.06266319,0,1565,531,0,0,0,218,0,1843,718,0,797,790,701,26,181,154,192,118,54,0,19,0.11424794,20254.19451764,1546,455,28.7,3185037.00746914,7767.34157835646
3127,37,119,005823,3,371190058233,Block Group 3,"Block Group 3, Census Tract 58.23, Mecklenburg County, North Carolina",2353,898,898,0,0.8380829,1843,90,0,80,0,48,292,103,898,0,790,264,1083,216,195,318,192,116,77,0,0,0.63459059,3707.90244463,2372,-553,37.9,17691299.5137836,18656.3532873437
3128,37,119,005522,3,371190055223,Block Group 3,"Block Group 3, Census Tract 55.22, Mecklenburg County, North Carolina",964,519,591,0.12182741,0,331,358,0,127,0,125,23,0,519,0,141,580,243,0,251,159,79,30,0,0,0,0.19015927,5069.43469019,971,299,30.3,5301314.92492773,10710.5732968054
3129,37,119,003011,4,371190030114,Block Group 4,"Block Group 4, Census Tract 30.11, Mecklenburg County, North Carolina",899,365,365,0,0.22196262,793,0,17,67,0,0,22,126,365,0,125,328,368,78,52,230,34,13,31,5,0,0.35041222,2565.54979732,819,230,32.9,9768893.01849375,17034.2637711482
3130,37,119,003008,3,371190030083,Block Group 3,"Block Group 3, Census Tract 30.08, Mecklenburg County, North Carolina",2117,849,863,0.01622248,0.75117371,1670,57,0,61,0,171,158,209,849,0,499,277,721,620,172,409,105,107,32,22,2,0.86746009,2440.45809646,1937,408,43.7,24183302.7029842,21947.9851769445
3131,37,119,001921,1,371190019211,Block Group 1,"Block Group 1, Census Tract 19.21, Mecklenburg County, North Carolina",3017,840,875,0.04,0.60411311,1167,1086,22,218,22,378,124,840,840,18,841,803,1127,246,123,234,178,108,169,14,14,0.99339013,3037.07466874,2356,300,33.1,27694016.6573875,25936.2770050183
3132,37,119,002500,2,371190025002,Block Group 2,"Block Group 2, Census Tract 25, Mecklenburg County, North Carolina",652,393,442,0.11085973,0.33236152,588,31,0,3,0,8,22,7,393,0,65,300,240,47,248,100,22,17,0,6,0,0.37975959,1716.87566863,665,-53,32.8,10587047.2654666,13404.6590083044
3133,37,119,005519,2,371190055192,Block Group 2,"Block Group 2, Census Tract 55.19, Mecklenburg County, North Carolina",2391,1111,1167,0.04798629,0.47263682,821,1145,0,220,4,174,27,223,1111,0,543,651,981,216,383,450,178,69,9,22,0,1.75558705,1361.93759233,2120,250,35,48942762.2304143,37117.8663655604
3134,37,119,003017,1,371190030171,Block Group 1,"Block Group 1, Census Tract 30.17, Mecklenburg County, North Carolina",1155,460,460,0,0.72789116,1080,70,0,0,0,0,5,95,460,8,239,178,504,234,127,160,65,91,17,0,0,0.31594039,3655.75290959,1010,264,43.2,8807877.27604414,15251.7677023898
